1624801588991	GET 	 body: {}	/	 query: {} 	304 	[4ms]
1624801593880	GET 	 body: {}	/users	 query: {} 	401 	[5ms]
1624802117864	GET 	 body: {}	/users	 query: {} 	401 	[4ms]
1624802172674	GET 	 body: {}	/users	 query: {} 	401 	[1ms]
1624802178554	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[107ms]
1624802233603	POST 	 body: {"login":"admin","password":"admin1"}	/login	 query: {} 	403 	[64ms]
1624802239973	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[5ms]
1624802267360	GET 	 body: {}	/users	 query: {} 	500 	[7ms]
1624802281705	GET 	 body: {}	/users	 query: {} 	500 	[2ms]
1624802283110	GET 	 body: {}	/users	 query: {} 	500 	[1ms]
1624802299456	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[49ms]
1624802317142	GET 	 body: {}	/users	 query: {} 	500 	[1ms]
1624802339711	GET 	 body: {}	/users	 query: {} 	200 	[78ms]
1624802364389	GET 	 body: {}	/users	 query: {} 	500 	[1ms]
1624802947666	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[15ms]
1624802959535	GET 	 body: {}	/users	 query: {} 	500 	[7ms]
1624802960637	GET 	 body: {}	/users	 query: {} 	500 	[2ms]
1624803001089	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[63ms]
1624803331411	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[65ms]
1624803373217	GET 	 body: {}	/users	 query: {} 	500 	[8ms]
1624803390853	GET 	 body: {}	/users	 query: {} 	500 	[1ms]
1624803400999	GET 	 body: {}	/users	 query: {} 	500 	[2ms]
1624804534092	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[14ms]
1624804548953	GET 	 body: {}	/users	 query: {} 	200 	[86ms]
1624804765760	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[69ms]
1624804823615	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[15ms]
1624804925075	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[15ms]
1624804952118	GET 	 body: {}	/users	 query: {} 	200 	[87ms]
1624805292300	POST 	 body: {"login":"admin6","password":"admin"}	/login	 query: {} 	201 	[78ms]
1624805327493	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[101ms]
1624805327497	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[98ms]
1624805327508	POST 	 body: {"login":"admin","password":"admin"}	/login	 query: {} 	403 	[88ms]
1624805327602	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[7ms]
1624805327614	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[2ms]
1624805327616	GET 	 body: {}	/users	 query: {} 	500 	[1ms]
1624805327617	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/undefined/tasks	 query: {} 	500 	[1ms]
1624805327651	GET 	 body: {}	/boards	 query: {} 	500 	[1ms]
1624805327652	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	500 	[1ms]
1624805327654	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	500 	[1ms]
1624805327660	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	500 	[1ms]
1624805327666	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	500 	[1ms]
1624805327669	PUT 	 body: {"name":"Autotest updated TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users/undefined	 query: {} 	500 	[1ms]
1624805327673	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	500 	[1ms]
1624805327677	DELETE 	 body: {}	/users/undefined	 query: {} 	500 	[2ms]
1624805327682	GET 	 body: {}	/boards	 query: {} 	500 	[1ms]
1624805327688	POST 	 body: {"name":"TEST_USER","login":"test_user","password":"T35t_P@55w0rd"}	/users	 query: {} 	500 	[1ms]
1624805327689	GET 	 body: {}	/boards/undefined/tasks	 query: {} 	500 	[1ms]
1624805327691	POST 	 body: {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]}	/boards	 query: {} 	500 	[0ms]
1624805327696	POST 	 body: {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null}	/boards/undefined/tasks	 query: {} 	500 	[1ms]
